Producer,Wine Name,Score,Region,Vintage,Colour,Description
Delta Estate,Hatters Hill Pinot Noir,92,Marlborough,2021,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Saint Clair Family Estate,Definition Pinot Noir,87,Marlborough,2021,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Saint Clair Family Estate,Barrique Sauvignon Blanc,88,Marlborough,2021,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Saint Clair Family Estate,Pioneer Block 10 Twin Hills Chardonnay,90,Marlborough,2021,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Saint Clair Family Estate,Pioneer Block 5 Bull Block Gruner Veltliner,90,Marlborough,2021,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Saint Clair Family Estate,Pioneer Block 14 Doctor's Creek Pinot Noir,93,Marlborough,2021,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Rapaura Springs,Rohe Pinot Noir,93,Marlborough,2021,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Saint Clair Family Estate,Omaka Reserve Chardonnay,91,Marlborough,2021,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Valli Vineyards,Pinot Noir,97,Central Otago,2021,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Rockburn,The Chosen 777 Pinot Noir,93,Central Otago,2021,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Rockburn,Pinot Noir,94,Central Otago,2021,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Rockburn,The Art Pinot Noir,90,Central Otago,2021,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Rockburn,Nine Barrels Parkburn Vineyard Pinot Noir,94,Central Otago,2021,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Rockburn,The Chosen Hillside Pinot Noir,97,Central Otago,2021,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Wild Earth Wines,Pinot Noir,96,Central Otago,2021,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Invivo,Pinot Noir,91,Central Otago,2021,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Trinity Hill,Chardonnay,91,Hawke's Bay,2021,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Trinity Hill,125 Gimblett Chardonnay,94,Hawke's Bay,2021,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Trinity Hill,The Gimblett,96,Hawke's Bay,2021,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Oyster Bay,Chardonnay,86,Marlborough,2021,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Oyster Bay,Pinot Noir,90,Marlborough,2021,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Oyster Bay,Merlot,87,Hawke's Bay,2021,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Palliser Estate,Pinot Noir,90,Wairarapa,2021,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Palliser Estate,Chardonnay,92,Wairarapa,2021,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Palliser Estate,Om Santi Single Vineyard Chardonnay,97,Wairarapa,2021,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Palliser Estate,Hua Nui Single Vineyard Pinot Noir,97,Wairarapa,2021,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Church Road,Mcdonald Series Cabernet Sauvignon,89,Hawke's Bay,2018,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Waipara West,N Block Chardonnay,88,Waipara,2019,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Grasshopper Rock,Earnscleugh Vineyard Pinot Noir,89,Central Otago,2019,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Esk Valley,Hillside Malbec-Merlot-Cabernet Franc-Syrah,91,Hawke's Bay,2019,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Giesen Group,Organic Syrah,91,Marlborough,2019,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Giesen Group,Clayvin Single Vineyard Pinot Noir,90,Marlborough,2019,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Giesen Group,Organic Chardonnay,90,Marlborough,2019,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Jackson Estate,Vintage Widow Pinot Noir,91,Marlborough,2019,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Greystone Wines,Organic Pinot Noir,93,Waipara,2019,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Kono,Tohu Pinot Noir,90,Marlborough,2019,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Saint Clair Family Estate,Rapaura Reserve Merlot,90,Marlborough,2019,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Tarras Vineyards,The Canyon Pinot Noir,93,Central Otago,2019,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Trinity Hill,Homage Syrah,96,Hawke's Bay,2019,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Palliser Estate,Hua Nui Single Vineyard Pinot Noir,94,Wairarapa,2020,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Trinity Hill,Syrah,94,Hawke's Bay,2020,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Trinity Hill,Marsanne-Viognier,92,Hawke's Bay,2020,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Tarras Vineyards,Pinot Noir,92,Central Otago,2020,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Tarras Vineyards,The Canyon Pinot Noir,90,Central Otago,2020,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Saint Clair Family Estate,Pioneer Block 17 Pleatau Syrah,90,Hawke's Bay,2020,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Saint Clair Family Estate,Pioneer Block 17 Plateau Merlot,88,Hawke's Bay,2020,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Saint Clair Family Estate,Pioneer Block 10 Twin Hills Pinot Noir,89,Marlborough,2020,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Saint Clair Family Estate,Pioneer Block 28 Camp Pinot Blanc,89,Marlborough,2020,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Kono,Tohu Whenua Matua Single Vineyard Chardonnay,90,Nelson,2020,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Delta Estate,Pinot Blanc,90,Marlborough,2020,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Mohua,Pinot Noir,88,Central Otago,2020,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Lake Chalice,Plume Chardonnay,97,Marlborough,2020,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Tiki Wine & Vineyards,Single Vineyard Pinot Noir,94,Canterbury,2020,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Yealands Estate Wines,Reserve Pinot Noir,90,Marlborough,2020,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Lawson's Dry Hills,Reserve Pinot Noir,86,Marlborough,2020,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Three Miners,Warden's Court Pinot Noir,95,Central Otago,2020,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Craggy Range,Te Kahu,94,Hawke's Bay,2020,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Craggy Range,Le Sol,95,Hawke's Bay,2020,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Craggy Range,Te Muna Road Vineyard Pinot Noir,86,Wairarapa,2020,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Craggy Range,Aroha,90,Wairarapa,2020,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Greystone Wines,Organic Vineyard Ferment Pinot Noir,94,Waipara,2020,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Mt Difficulty,Pinot Noir,91,Central Otago,2020,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Martinborough Vineyard,Home Block Pinot Noir,96,Wairarapa,2020,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Villa Maria,Reserve Syrah,92,Hawke's Bay,2020,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Villa Maria,Reserve Cabernet Sauvignon-Merlot,93,Hawke's Bay,2020,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Villa Maria,Single Vineyard Pinot Noir,93,Marlborough,2020,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Giesen Group,Small Batch Chardonnay,89,Marlborough,2020,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Giesen Group,Uncharted Chardonnay,90,Marlborough,2020,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Esk Valley,Artisanal Malbec-Cabernet Sauvignon-Merlot,94,Hawke's Bay,2020,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Esk Valley,Artisanal Syrah,88,Hawke's Bay,2020,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Paddy Borthwick,Pinot Noir,88,Wairarapa,2020,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Amisfield,Pinot Noir,92,Central Otago,2020,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Pask,Syrah,88,Hawke's Bay,2020,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Pask,Declaration Chardonnay,93,Hawke's Bay,2020,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Nautilus Estate,Pinot Noir,91,Marlborough,2020,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Nautilus Estate,Clay Hills Vineyard Pinot Noir,93,Marlborough,2020,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Sileni Estates,Lodge Grand Reserve Chardonnay,86,Hawke's Bay,2020,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Bannock Brae,Goldfields Pinot Noir,92,Central Otago,2020,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Stoneleigh,Pinot Noir,92,Marlborough,2020,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Church Road,McDonald Series Syrah,88,Hawke's Bay,2020,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Church Road,Grand Reserve Cabernet Sauvignon-Merlot,94,Hawke's Bay,2020,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Church Road,Grand Reserve Syrah,93,Hawke's Bay,2020,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Church Road,Grand Reserve Chardonnay,93,Hawke's Bay,2020,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Church Road,1 Single Vineyard Redstone Syrah,96,Hawke's Bay,2020,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Church Road,1 Single Vineyard Malbec,95,Hawke's Bay,2020,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Church Road,1 Single Vineyard Merlot,95,Hawke's Bay,2020,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Church Road,1 Single Vineyard Cabernet Sauvignon,89,Hawke's Bay,2020,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Spy Valley,Pinot Noir,90,Marlborough,2020,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Wooing Tree,Pinot Noir,88,Central Otago,2020,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Clocktower,Pinot Noir,88,Marlborough,2020,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Te Kano Estate,Pinot Noir,89,Central Otago,2020,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Vidal,Reserve Sauvignon Blanc,91,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Spy Valley Wines,Satellite Sauvignon Blanc,86,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Spy Valley Wines,Easy Tiger Sauvignon Blanc,86,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Spy Valley Wines,Pinot Noir,91,Marlborough,2022,Rose,A great improvement with Oaky notes and a hint of raspberries and peaches
Spy Valley Wines,Sauvignon Blanc,87,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Spy Valley,Pinot Gris,89,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Spy Valley Wines,E Block Sauvignon Blanc,90,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Stoneleigh,Latitude Sauvignon Blanc,92,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Stoneleigh,Latitude Chardonnay,88,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Stoneleigh,Rapaura Series Sauvignon Blanc,91,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Stoneleigh,Rapaura Series Chardonnay,88,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Stoneleigh,Sauvignon Blanc,88,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Eradus Wines,Sauvignon Blanc,86,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
The Hunting Lodge,Homeblock Albarino,89,Auckland,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Awatere River Wines,Sauvignon Blanc,95,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Sileni Estates,Cellar Selection Sauvignon Blanc,89,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Sileni Estates,Sauvignon Blanc,91,Nelson,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Sileni Estates,Waimea Rose,89,Nelson,2022,Rose,A great improvement with Oaky notes and a hint of raspberries and peaches
Te P? Family Vineards,Hillside Reserve Sauvignon Blanc,90,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Montford Estate,Sauvignon Blanc,88,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Montford Estate,Rose,88,Marlborough,2022,Rose,A great improvement with Oaky notes and a hint of raspberries and peaches
Te P? Family Vineyards,Chardonnay,89,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Te P? Family Vineyards,Sauvignon Blanc,95,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Amisfield,Sauvignon Blanc,95,Central Otago,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Esk Valley,Sauvignon Blanc,89,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Esk Valley,Artisanal Chardonnay,87,Hawke's Bay,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Giesen Group,Organic Sauvignon Blanc,91,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Giesen Group,Uncharted Sauvignon Blanc,92,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Giesen Group,Estate Sauvignon Blanc,92,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Leftfield,Harvest Duel Albarino,91,Gisborne,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Leftfield,Moon Shell Moth Rose,95,Hawke's Bay,2022,Rose,A great improvement with Oaky notes and a hint of raspberries and peaches
Giesen Group,Ara Single Estate Sauvignon Blanc,89,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Giesen Group,Small Batch Sauvignon Blanc,90,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Villa Maria,Reserve Sauvignon Blanc,91,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Villa Maria,Single Vineyard Bankhouse Sauvignon Blanc,93,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Villa Maria,Single Vineyard Seaspray Sauvignon Blanc,89,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Villa Maria,Cellar Selection Sauvignon Blanc,91,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Villa Maria,Earthgarden Sauvignon Blanc,88,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Villa Maria,Private Bin Sauvignon Blanc,90,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Villa Maria,Private Bin Riesling,92,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Villa Maria,Private Bin Pinot Grigio,87,East Coast,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Villa Maria,Single Vineyard Sauvignon Blanc,92,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Villa Maria,EarthGarden Pinot Noir,86,Marlborough,2022,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Castlebrae,Sauvignon Blanc,91,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Jackson Estate,Stich Sauvignon Blanc,89,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Vavasour,Sauvignon Blanc,95,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Vavasour,Papa Sauvignon Blanc,87,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Grove Mill,Sauvignon Blanc,87,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Craggy Range,Sauvignon Blanc,87,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Dashwood,Sauvignon Blanc,88,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Craggy Range,Te Muna Sauvignon Blanc,91,Wairarapa,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Mora Wines,Rua Pinot Noir,91,Central Otago,2022,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Brancott Estate,Reserve Sauvignon Blanc,90,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Brancott Estate,Sauvignon Blanc,91,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Brancott Estate,Letter Series B Sauvignon Blanc,95,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Urlar,Organic Sauvignon Blanc,96,Wairarapa,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Mc Arthur Ridge,Brassknocker Pinot Noir,90,Central Otago,2022,Red,A great improvement with Oaky notes and a hint of raspberries and peaches
Lawson's Dry Hills,Inviniti Sauvignon Blanc,91,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Lawson's Dry Hills,Mount Vernon Sauvignon Blanc,92,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Lawson's Dry Hills,Blind River Sauvignon Blanc,91,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Lawson's Dry Hills,Sauvignon Blanc,92,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Lawson's Dry Hills,Reserve Sauvignon Blanc,88,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Yealands Estate Wines,Reserve Gruner Veltliner,92,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
Forrest Wines,Sauvignon Blanc,86,Marlborough,2022,White,A great improvement with Oaky notes and a hint of raspberries and peaches
